route_id,agency_id,route_short_name,route_long_name,route_desc,route_type,pull_time
10166,38,BTP-5,BTP-5,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10167,38,BTP-4,BTP-4,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10168,38,314-T RMN-VSD-KBS,RMN-KBS,Rameshnagara - Kempegowda Bus Station,3,
10169,38,BTP-4,BTP-4,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10170,38,BTP-1,BTP-1,CS-Swamy Vivekanada Metro Station - CS-Bagmane Tech Park,3,
10171,38,BTP-1,BTP-1,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10172,38,BTP-5,BTP-5,CS-Bagmane Tech Park - CS-Swamy Vivekanada Metro Station,3,
10173,38,401-RE,YTTMC-BEML5,Yeshawanthapura Bus Station - BEML Layout 5th stage,3,
10174,38,401-RE,BEML5-YTTMC,BEML Layout 5th stage - Yeshawanthapura Bus Station,3,
10175,38,500-C KRPGH-DSUK,KRPGH-DSUK,Krishnaraja Pura Govt Hospital - Dayanandasagara University Kudlu Gate,3,
10176,38,500-C KRPGH-DSUK,DSUK-KRPGH,Dayanandasagara University Kudlu Gate - Krishnaraja Pura Govt Hospital,3,
10177,38,381-E KBP-KMT-KBS,KBP-KMT-KBS,Kambalipura - Kempegowda Bus Station,3,
10178,38,317-EM D24G-EMTS,D24G-EMTS,Depot-24 Gate - E Muthsandra,3,2025-07-28T19:00:01.087577
10178,38,381-D D24G-EMTS,D24G-EMTS,Depot-24 Gate - E Muthsandra,3,
10179,38,317-EM D24G-EMTS,EMTS-D24G,E Muthsandra - Depot-24 Gate,3,2025-07-28T19:00:01.087577
10179,38,381-D D24G-EMTS,EMTS-D24G,E Muthsandra - Depot-24 Gate,3,
10184,38,D6G-MNBS,D6G-MNBS,Depot-06 Gate - Malleshpalya New Bus Station(Vignananagar),3,
10185,38,D6G-MNBS,MNBS-D6G,Malleshpalya New Bus Station(Vignananagar) - Depot-06 Gate,3,
10186,38,VNS-7,VNS-7,CS-Park Hotel 1MG - CS-Vidyaniketan School Hebbala,3,
10187,38,VNS-7,VNS-7,CS-Vidyaniketan School Hebbala - CS-Park Hotel 1MG,3,
10188,38,VNS-17,VNS-17,CS-Dhoopanahalli - CS-Vidyaniketan School Hebbala,3,
10189,38,VNS-17,VNS-17,CS-Vidyaniketan School Hebbala - CS-Dhoopanahalli,3,
10190,38,HAL-D6G,D6G-HAL,Depot-06 Gate - HAL Main Gate,3,
10191,38,HSS-06,HSS-06,CS-Depot-06 Gate - CS-Head Start School Kommasandra,3,
10192,38,HSS-06,HSS-06,CS-Head Start School Kommasandra - CS-Depot-06 Gate,3,
10193,38,HALPV-5,HAL-KMG,CS-HAL Main Gate - CS-Kommaghatta,3,
10194,38,HALPV-5,KMG-HAL,CS-Kommaghatta - CS-HAL Main Gate,3,
10195,38,JNSVS-6,JNSVS-6,CS-Jnanakshi Vidyaniketan School - CS-Jnanakshi Vidyaniketan School,3,
10196,38,JNSVS-6,JNSVS-6,CS-Jnanakshi Vidyaniketan School - CS-Jnanakshi Vidyaniketan School,3,
10198,38,KGR-JNSVS,KGR-JNSVS,Kengeri Bus Station - Jnanakshi Vidyaniketan School,3,
10199,38,KGR-JNSVS,JNSVS-KGR,Jnanakshi Vidyaniketan School - Kengeri Bus Station,3,
10200,38,346-A,KMT-SKP,KR Market (Kalasipalya) - Shikaripalya,3,
10201,38,346-A,SKP-KMT,Shikaripalya - KR Market (Kalasipalya),3,
10206,38,500-F KDG-ATB,KDG-ATB,Kadugodi Bus Station - Attibele Bus Stand,3,
10207,38,500-F KDG-ATB,ATB-KDG,Attibele Bus Stand - Kadugodi Bus Station,3,
10208,38,SET-1,ECITY-SET,CS-Electronic City - CS-Sanabil Educational Trust,3,
10209,38,SET-1,SET-ECITY,CS-Sanabil Educational Trust - CS-Electronic City,3,
10210,38,350-B,KMT-MNR,KR Market (Kalasipalya) - Muttanalluru,3,
10211,38,350-B,MTR-KMT,Muttanalluru - KR Market (Kalasipalya),3,
10212,38,NBVB-DPJN,AIT-DPJN,Ambedkar Institute of Technology - Deepanjalinagara,3,
10213,38,ITPL-7B,ECITY-ITPL,CS-Electronic City - CS-ITPL,3,
10214,38,ITPL-7B,ITPL-ECITY,CS-ITPL - CS-Electronic City,3,
10215,38,346-CK,KBS-KSDBA,Kempegowda Bus Station - Karnataka Slum Board Development Apartment,3,
10216,38,346-G,KMT-PPA,KR Market (Kalasipalya) - Parappana Agrahara,3,
10217,38,346-CK,KSBDA-KBS,Karnataka Slum Board Development Apartment - Kempegowda Bus Station,3,
10218,38,346-G,PPA-KMT,Parappana Agrahara - KR Market (Kalasipalya),3,
10219,38,346-N,KBS-DDT,Kempegowda Bus Station - Dodda Thoguru,3,
10220,38,D38G-HDS,D38G-HSPR,Depot-38 Gate - Hadosiddapura,3,
10221,38,346-N,DDT-KBS,Dodda Thoguru - Kempegowda Bus Station,3,
10222,38,MVSM-2,HSPR-MVM,CS-Hado Siddapura - CS-Mahathma Vidhyalaya Muttanalluru,3,
10223,38,MVSM-2,MVM-HSPR,CS-Mahathma Vidhyalaya Muttanalluru - CS-Hado Siddapura,3,
10224,38,PESCE-2,PESHK-PESCE,CS-PES College Hostel Kasavanahalli - CS-PESIT College Electronic City,3,
10225,38,PESCE-2,PESCE-PESHK,CS-PESIT College Electronic City - CS-PES College Hostel Kasavanahalli,3,
10226,38,PESCE-1,PESHK-PESCE,CS-PES College Hostel Kasavanahalli - CS-PESIT College Electronic City,3,
10227,38,PESCE-1,PESCE-PESHK,CS-PESIT College Electronic City - CS-PES College Hostel Kasavanahalli,3,
10228,38,D38G-HDS,HSPR-D38G,Hadosiddapura - Depot-38 Gate,3,
10229,38,ELC-PAH,ECITY-PRPA,Electronic City - Parappana Agrahara,3,
10230,38,ELC-PAH,PRPA-ECITY,Parappana Agrahara - Electronic City,3,
10232,38,KRPGH-RBM-BMS-SNBS,KRPGH-SNBS,Krishnaraja Pura Govt Hospital - Shanthinagara Bus Station,3,
10234,38,KRPGH-RBM-BMS-SNBS,SNBS-KRPGH,Shanthinagara Bus Station - Krishnaraja Pura Govt Hospital,3,
10236,38,TPL-6H,NGB-ITPL,CS-Nagarabhavi Circle - CS-ITPL,3,
10237,38,TPL-6H,ITPL-NGB,CS-ITPL - CS-Nagarabhavi Circle,3,
10238,38,361-K KMT-NGKH,KMT-NGNH,KR Market (Kalasipalya) - Naganayakanahalli,3,
10239,38,KRPGH-RMB-BMS-VSD-KBS,KRPGH-KBS,Krishnaraja Pura Govt Hospital - Kempegowda Bus Station,3,
10240,38,361-K KMT-NGKH,NGNH-KMT,Naganayakanahalli - KR Market (Kalasipalya),3,
10241,38,KRPGH-RMB-BMS-VSD-KBS,KBS-KRPGH,Kempegowda Bus Station - Krishnaraja Pura Govt Hospital,3,
10243,38,375-D BSK-JVS,BSK-JNKL,Banashankari Bus Station - Jnanakshi Layout,3,
10245,38,242-GA,KMT-GLH,KR Market (Kalasipalya) - Gollarahatti,3,
10246,38,242-GA,GLH-KMT,Gollarahatti - KR Market (Kalasipalya),3,
10247,38,HALPV-14,HAL PV-14,CS-Chowdeshwarinagara ORR - CS-HAL ARDC,3,
10249,38,CFLF-2,MCC-CLSV,CS-Mount Carmel College - CS-Centre for Learning School Varadenahalli,3,
10250,38,CFLF-2,CLSV-MCC,CS-Centre for Learning School Varadenahalli - CS-Mount Carmel College,3,
10251,38,SHS-3,SHS-3,CS-R T Nagara Police Station - CS-Sophiya School,3,
10252,38,SHS-3,SHS-3,CS-Sophiya School - CS-R T Nagara Police Station,3,
10253,38,350-A KBS-TRP,KBS-TRP,Kempegowda Bus Station - Thirupalya,3,
10254,38,350-A KBS-TRP,TRP-KBS,Thirupalya - Kempegowda Bus Station,3,
10255,38,D31G-MCCVN,D31G-MCCVN,Depot-31 Gate - Mount Carmel College,3,
10256,38,SPHS-13,STP-SPHS,CS-Sultanpalya - CS-Sophiya School,3,
10257,38,SPHS-13,SPHS-STP,CS-Sophiya School - CS-Sultanpalya,3,
10258,38,D31G-MCCVN,MCCVN-D31G,Mount Carmel College - Depot-31 Gate,3,
10259,38,HAL PV-1,KTNH-ARDCHAL,CS-Kittanahalli - CS-HAL ARDC,3,
10260,38,317-TA D24G-TBH,D24G-TBH,Depot-24 Gate - Tharabanahalli,3,
10261,38,HAL PV-1,ARDC-KTNH,CS-HAL ARDC - CS-Kittanahalli,3,
10262,38,350-D,KMT-SPN,KR Market (Kalasipalya) - Sampige Nagara,3,
10263,38,317-TA D24G-TBH,TBH-D24G,Tharabanahalli - Depot-24 Gate,3,
10264,38,350-D,SPN-KMT,Sampige Nagara - KR Market (Kalasipalya),3,
10269,38,D35G-KBS-HAL,D35G-ARDCHAL,Depot-35 Gate - HAL ARDC,3,
10270,38,D35G-KBS-HAL,ARDC HAL-D35G,HAL ARDC - Depot-35 Gate,3,
10271,38,V-500BC,BELC-CSB,BEL Circle - Central Silk Board,3,
10272,38,V-500BC,CSB-BELC,Central Silk Board - BEL Circle,3,
10273,38,D28-HBLB,D28-HBLB,Depot-28 Hebbala - Hebbala Bridge,3,
10274,38,D28-HBLB,HBLB-D28,Hebbala Bridge - Depot-28 Hebbala,3,
10275,38,D31G-VGN,D31G-VGN,Depot-31 Gate - Vigneshwara Nagara,3,
10276,38,D31G-VGN,VGN-D1G,Vigneshwara Nagara - Depot-31 Gate,3,
10277,38,BEMLA-23,BEMLF-IMH,CS-BEML Factory - CS-Immadihalli,3,
10278,38,BEMLA-23,IMDH-EMLF,CS-Immadihalli - CS-BEML Factory,3,
